__id,reportguid,officerguid,event_date_time,cr_or_event,event_class,event_class_description,district_of_occurrence,bureau,reason_counteract,reason_claim_injury,reason_protective_instrument,reason_firearm_discharge,reason_canine,reason_firearm_accidental,reason_officer_assaulted,reason_pointing,reason_physical_efforts,reason_animal_involved,reason_animalinvolvedhumane,reason_animalinvolvedvicious,animal_type,animaltypeother,animal_force_used,animal_force_used_other,activity_arrest,activity_defend,activity_demo,activity_eep,activity_warrant,activity_transport,activity_stop,activity_investigative,activity_swat_operation,activity_sert_operation,subj_race,subj_gender,subj_age,subj_age_unknown,subj_height,subj_weight,subj_alcohol,subj_drugs,subj_drug_type,subj_drug_type_other,subj_possible_mental_illness,subject_injury_bruise_soreness,subject_injury_broken_bones,subject_injury_laceration,subject_injury_bite,subject_injury_gunshot,subject_injury_taser_mark,suspect_injury_unrelated_to_police,subject_injury_none,subject_treated_decon,subject_treated_firstaid,subject_treated_police_firstaid,subject_treated_ems_firstaid,subject_treated_hospital,subject_treated_refused,subject_treated_none,subj_feet,subj_hands_fists,subj_strike,subj_handgun_pointed,subj_handgun_discharged,subj_knife,subj_oc_aerosol_pointed,subj_oc_aerosol_discharged,subj_shotgun_rifle_pointed,subj_shotgun_rifle_discharged,subj_vehicle,subj_pepperball_pointed,subj_pepperball_discharged,ofc_race,ofc_gender,ofc_age,ofc_district_unit_of_assignment,ofc_assaulted,ofc_ambushed,ofc_injury_bruise_soreness,ofc_injury_broken_bones,ofc_injury_laceration_abrasion,ofc_injury_bite,ofc_injury_gunshot,ofc_injury_taser_mark,ofc_injury_none,ofc_treated_decon,ofc_treated_firstaid,ofc_treated_police_firstaid,ofc_treated_ems_firstaid,ofc_treated_hospital,ofc_treated_refused,ofc_treated_none,ofc_asp,ofc_canine,ofc_cew_pointed,ofc_cew_discharged,ofc_flashlight,ofc_feet,ofc_hands_fists,ofc_strike,ofc_control_technique,ofc_non_compliant_escort,ofc_handgun_pointed,ofc_handgun_discharged,ofc_knife,ofc_oc_aerosol_pointed,ofc_oc_aerosol_discharged,ofc_shotgun_rifle_pointed,ofc_shotgun_rifle_discharged,ofc_vehicle,ofc_pepperball_pointed,ofc_pepperball_discharged,ofc_cew_cartridge,ofc_cew_stun,ofc_cew_point_of_impact,ofc_cew_point_of_impact_2,ofc_cew_of_cartridges,_row_index,_loaded_at
row-3u9p_e9j5.7qia,3A952A2E-15D8-46D7-812A-3EA4320D75FD,CF9E1AE7-3B57-44C6-8BFD-6FDC3C61B736,2026/04/10 19:21:00.000000000,260015440,1521,WEAPON POSSESSION HANDGUN,4D,SOB,f,f,f,f,f,f,f,t,t,f,f,f,None,None,None,None,f,f,f,f,f,f,f,f,t,f,Hispanic,Male,16,False,510,150,f,f,None,None,f,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Unknown,Male,32,SOD,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,f,f,None,None,,24436,2026-04-21T13:35:34.880113
row-jwja-t7kq~5f5k,3A952A2E-15D8-46D7-812A-3EA4320D75FD,4913E610-FA26-4C4C-8E68-31BF71EE9C8D,2026/04/10 19:21:00.000000000,260015440,1521,WEAPON POSSESSION HANDGUN,4D,SOB,f,f,f,f,f,f,f,t,t,f,f,f,None,None,None,None,f,f,f,f,f,f,f,f,t,f,Hispanic,Male,16,False,510,150,f,f,None,None,f,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,White,Male,45,SOD,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24437,2026-04-21T13:35:34.880113
row-8tmx~87sb-x7rq,F2CCE6C1-20F2-474B-9159-5C860C627BA8,16BC5FD4-DC7F-4804-85CA-B1DEAA3B1FCD,2026/04/10 19:21:00.000000000,260015440,1521,WEAPON POSSESSION HANDGUN,4D,SOB,f,f,f,f,f,f,f,t,t,f,f,f,None,None,None,None,f,f,f,f,f,f,f,f,t,f,Black,Male,17,False,511,165,f,f,None,None,f,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Unknown,Male,32,SOD,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,f,f,None,None,,24438,2026-04-21T13:35:34.880113
row-f82f.zvyy-r8cd,B4CAC9A5-01DE-4822-9A86-89DB0EE02DDE,19E9B09C-A2FA-4D1B-A8DA-C4C69C192778,2026/04/10 19:21:00.000000000,260015440,1521,WEAPON POSSESSION HANDGUN,4D,PSB,f,t,f,f,f,f,f,t,t,f,f,f,None,None,None,None,f,f,f,f,f,f,f,f,t,f,Hispanic,Male,14,False,505,155,f,f,None,None,f,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,White,Male,50,4D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24439,2026-04-21T13:35:34.880113
row-f4sm.hnrh_28tf,B4CAC9A5-01DE-4822-9A86-89DB0EE02DDE,7B2B460C-3647-45D4-881A-AFE4B5F5FEB0,2026/04/10 19:21:00.000000000,260015440,1521,WEAPON POSSESSION HANDGUN,4D,SOB,f,t,f,f,f,f,f,t,t,f,f,f,None,None,None,None,f,f,f,f,f,f,f,f,t,f,Hispanic,Male,14,False,505,155,f,f,None,None,f,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,White,Male,53,SOD,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24440,2026-04-21T13:35:34.880113
row-7yr5.bbph_qs9r,14FEC330-09D8-420A-A4B4-74D27F787D40,BDEEE102-DE85-4A4F-9B5F-3EC1D65268D8,2026/04/10 19:21:00.000000000,260015440,1521,WEAPON POSSESSION HANDGUN,4D,SOB,f,f,f,f,f,f,f,t,t,f,f,f,None,None,None,None,f,f,f,f,f,f,f,f,t,f,Hispanic,Male,15,False,509,160,f,f,None,None,f,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Hispanic,Male,36,SOD,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24441,2026-04-21T13:35:34.880113
row-aapq-ubhj_mg8n,F2CCE6C1-20F2-474B-9159-5C860C627BA8,F066E0F8-F27F-4B1D-9536-3CD5F79FE276,2026/04/10 19:21:00.000000000,260015440,1521,WEAPON POSSESSION HANDGUN,4D,SOB,f,f,f,f,f,f,f,t,t,f,f,f,None,None,None,None,f,f,f,f,f,f,f,f,t,f,Black,Male,17,False,511,165,f,f,None,None,f,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,White,Male,45,SOD,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24442,2026-04-21T13:35:34.880113
row-9a5k.nj3j-2atj,B4CAC9A5-01DE-4822-9A86-89DB0EE02DDE,59E92C6B-D154-429C-920C-C28AE237283F,2026/04/10 19:21:00.000000000,260015440,1521,WEAPON POSSESSION HANDGUN,4D,SOB,f,t,f,f,f,f,f,t,t,f,f,f,None,None,None,None,f,f,f,f,f,f,f,f,t,f,Hispanic,Male,14,False,505,155,f,f,None,None,f,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Unknown,Male,32,SOD,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,f,f,None,None,,24443,2026-04-21T13:35:34.880113
row-6kxi_j2s8.dssq,B4CAC9A5-01DE-4822-9A86-89DB0EE02DDE,1160C412-D9C2-42E0-BBB6-44CF10E536AD,2026/04/10 19:21:00.000000000,260015440,1521,WEAPON POSSESSION HANDGUN,4D,PSB,f,t,f,f,f,f,f,t,t,f,f,f,None,None,None,None,f,f,f,f,f,f,f,f,t,f,Hispanic,Male,14,False,505,155,f,f,None,None,f,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,White,Male,33,4D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24444,2026-04-21T13:35:34.880113
row-mx64~fx7b_pxqb,14FEC330-09D8-420A-A4B4-74D27F787D40,A99E137C-A720-40A5-AE5F-A4C609FEEA53,2026/04/10 19:21:00.000000000,260015440,1521,WEAPON POSSESSION HANDGUN,4D,PSB,f,f,f,f,f,f,f,t,t,f,f,f,None,None,None,None,f,f,f,f,f,f,f,f,t,f,Hispanic,Male,15,False,509,160,f,f,None,None,f,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Asian,Male,29,4D,f,f,None,None,None,None,None,None,t,None,None,None,None,None,None,t,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,f,f,None,None,,24445,2026-04-21T13:35:34.880113
